filing_date,count,component
2005-11-30,1,domestic
2005-12-31,0,domestic
2006-01-31,1,domestic
2006-02-28,0,domestic
2006-03-31,0,domestic
2006-04-30,0,domestic
2006-05-31,0,domestic
2006-06-30,0,domestic
2006-07-31,0,domestic
2006-08-31,0,domestic
2006-09-30,0,domestic
2006-10-31,2,domestic
2006-11-30,0,domestic
2006-12-31,0,domestic
2007-01-31,0,domestic
2007-02-28,0,domestic
2007-03-31,1,domestic
2007-04-30,0,domestic
2007-05-31,0,domestic
2007-06-30,0,domestic
2007-07-31,0,domestic
2007-08-31,1,domestic
2007-09-30,0,domestic
2007-10-31,0,domestic
2007-11-30,1,domestic
2007-12-31,0,domestic
2008-01-31,0,domestic
2008-02-29,0,domestic
2008-03-31,0,domestic
2008-04-30,1,domestic
2008-05-31,0,domestic
2008-06-30,0,domestic
2008-07-31,0,domestic
2008-08-31,0,domestic
2008-09-30,0,domestic
2008-10-31,1,domestic
2008-11-30,0,domestic
2008-12-31,0,domestic
2009-01-31,0,domestic
2009-02-28,0,domestic
2009-03-31,1,domestic
2009-04-30,0,domestic
2009-05-31,0,domestic
2009-06-30,0,domestic
2009-07-31,0,domestic
2009-08-31,0,domestic
2009-09-30,0,domestic
2009-10-31,1,domestic
2009-11-30,0,domestic
2009-12-31,3,domestic
2010-01-31,1,domestic
2010-02-28,0,domestic
2010-03-31,1,domestic
2010-04-30,0,domestic
2010-05-31,1,domestic
2010-06-30,0,domestic
2010-07-31,0,domestic
2010-08-31,0,domestic
2010-09-30,1,domestic
2010-10-31,2,domestic
2010-11-30,0,domestic
2010-12-31,1,domestic
2011-01-31,1,domestic
2011-02-28,0,domestic
2011-03-31,0,domestic
2011-04-30,0,domestic
2011-05-31,1,domestic
2011-06-30,0,domestic
2011-07-31,1,domestic
2011-08-31,1,domestic
2011-09-30,0,domestic
2011-10-31,2,domestic
2011-11-30,1,domestic
2011-12-31,2,domestic
2012-01-31,0,domestic
2012-02-29,2,domestic
2012-03-31,1,domestic
2012-04-30,1,domestic
2012-05-31,0,domestic
2012-06-30,0,domestic
2012-07-31,1,domestic
2012-08-31,1,domestic
2012-09-30,0,domestic
2012-10-31,0,domestic
2012-11-30,0,domestic
2012-12-31,0,domestic
2013-01-31,1,domestic
2013-02-28,0,domestic
2013-03-31,1,domestic
2013-04-30,1,domestic
2013-05-31,0,domestic
2013-06-30,0,domestic
2013-07-31,2,domestic
2013-08-31,1,domestic
2013-09-30,1,domestic
2013-10-31,0,domestic
2013-11-30,1,domestic
2013-12-31,1,domestic
2014-01-31,2,domestic
2014-02-28,0,domestic
2014-03-31,1,domestic
2014-04-30,1,domestic
2014-05-31,0,domestic
2014-06-30,2,domestic
2014-07-31,0,domestic
2014-08-31,0,domestic
2014-09-30,1,domestic
2014-10-31,0,domestic
2014-11-30,0,domestic
2014-12-31,0,domestic
2015-01-31,1,domestic
2015-02-28,0,domestic
2015-03-31,1,domestic
2015-04-30,1,domestic
2015-05-31,1,domestic
2015-06-30,0,domestic
2015-07-31,0,domestic
2015-08-31,0,domestic
2015-09-30,0,domestic
2015-10-31,2,domestic
2015-11-30,1,domestic
2015-12-31,0,domestic
2016-01-31,1,domestic
2016-02-29,1,domestic
2016-03-31,1,domestic
2016-04-30,1,domestic
2016-05-31,2,domestic
2016-06-30,1,domestic
2016-07-31,0,domestic
2016-08-31,2,domestic
2016-09-30,0,domestic
2016-10-31,0,domestic
2016-11-30,2,domestic
2016-12-31,2,domestic
2017-01-31,1,domestic
2017-02-28,2,domestic
2017-03-31,3,domestic
2017-04-30,1,domestic
2017-05-31,0,domestic
2017-06-30,1,domestic
2017-07-31,1,domestic
2017-08-31,4,domestic
2017-09-30,1,domestic
2017-10-31,1,domestic
2017-11-30,3,domestic
2017-12-31,2,domestic
2018-01-31,3,domestic
2018-02-28,3,domestic
2018-03-31,1,domestic
2018-04-30,1,domestic
2018-05-31,2,domestic
2018-06-30,2,domestic
2018-07-31,0,domestic
2018-08-31,3,domestic
2018-09-30,0,domestic
2018-10-31,3,domestic
2018-11-30,2,domestic
2018-12-31,1,domestic
2019-01-31,1,domestic
2019-02-28,0,domestic
2019-03-31,0,domestic
2019-04-30,0,domestic
2019-05-31,3,domestic
2019-06-30,1,domestic
2019-07-31,0,domestic
2019-08-31,5,domestic
2019-09-30,2,domestic
2019-10-31,4,domestic
2019-11-30,3,domestic
2019-12-31,1,domestic
2020-01-31,2,domestic
2020-02-29,1,domestic
2020-03-31,2,domestic
2020-04-30,1,domestic
2020-05-31,1,domestic
2020-06-30,1,domestic
2020-07-31,1,domestic
2020-08-31,3,domestic
2020-09-30,0,domestic
2020-10-31,4,domestic
2020-11-30,1,domestic
2020-12-31,0,domestic
2021-01-31,1,domestic
2021-02-28,2,domestic
2021-03-31,2,domestic
2021-04-30,2,domestic
2021-05-31,1,domestic
2021-06-30,1,domestic
2021-07-31,1,domestic
2021-08-31,2,domestic
2021-09-30,3,domestic
2021-10-31,2,domestic
2021-11-30,1,domestic
2021-12-31,5,domestic
2022-01-31,1,domestic
2022-02-28,2,domestic
2022-03-31,2,domestic
2022-04-30,2,domestic
2022-05-31,2,domestic
2022-06-30,1,domestic
2022-07-31,6,domestic
2022-08-31,3,domestic
2022-09-30,2,domestic
