accession_number,filename,file_date,file_type,cik,display_name
000082060001000002,0002.txt,2001-01-22,EX-10,0000820600,ALFA INTERNATIONAL CORP  (CIK 0000820600)
000101410001000015,0003.txt,2001-01-31,EX-10.4,0001017655,SALES ONLINE DIRECT INC  (PAYD)  (CIK 0001017655)
000109581101000342,f68448b3e424b3.txt,2001-01-24,424B3,0000786110,GYMBOREE CORP  (CIK 0000786110)
000091205701000713,a2033785zex-10_35.txt,2001-01-09,EX-10.35,0001043432,AMERICAN SKIING CO /ME  (CIK 0001043432)
000095012901000190,h83187b3e424b3.txt,2001-01-11,424B3,0000912899,UTI ENERGY CORP  (CIK 0000912899)
000109581101000144,f68448ors-3.txt,2001-01-10,S-3,0000786110,GYMBOREE CORP  (CIK 0000786110)
000084414301000003,0001.txt,2001-01-31,424B3,0000844143,INNOVO GROUP INC  (CIK 0000844143)
000089155401500357,d24461_485bpos.txt,2001-01-26,485BPOS,0000726291,SELIGMAN MUNICIPAL FUND SERIES INC  (CIK 0000726291)
000109238801500006,mariner_10kv3.htm,2001-01-03,10-K,0000882287,MARINER POST ACUTE NETWORK INC  (CIK 0000882287)
000091431701000003,0001.txt,2001-01-02,SB-2/A,0000795255,CAREERENGINE NETWORK INC  (CIK 0000795255)
000087562601000132,0001.txt,2001-01-31,485BPOS,0000911018,FIRST TRUST COMBINED SERIES 200  (CIK 0000911018)
000087562601000141,0001.txt,2001-01-31,485BPOS,0000912630,FIRST TRUST COMBINED SERIES 209  (CIK 0000912630)
000092701601001020,0012.txt,2001-02-21,EX-10.31,0001130950,LEARNINGSTAR INC  (CIK 0001130950)
000095015301000212,p64596a1e10-qa.txt,2001-02-14,10-Q/A,0000906326,RURAL METRO CORP /DE/  (CIK 0000906326)
000095015301000190,p64596e10-q.txt,2001-02-14,10-Q,0000906326,RURAL METRO CORP /DE/  (CIK 0000906326)
000093176301000248,0007.txt,2001-02-14,EX-10.5,0000070033,NATIONAL DATA CORP  (CIK 0000070033)
000093176301000253,0009.txt,2001-02-15,EX-10.5,0001123360,GLOBAL PAYMENTS INC  (GPN)  (CIK 0001123360)
000091205701004569,a2037708z10qsb.htm,2001-02-12,10QSB,0000004317,SENTO CORP  (CIK 0000004317)
000095015001500054,a69945ex10-13.txt,2001-02-28,EX-10.13,0001056903,AMERICAN STATES WATER CO  (AWR)  (CIK 0001056903)
000095015001500054,a69945ex10-13.txt,2001-02-28,EX-10.13,0000092116,SOUTHERN CALIFORNIA WATER CO  (CIK 0000092116)
000093247101000077,0001.txt,2001-02-01,N-30D,0000106830,VANGUARD MONEY MARKET RESERVES INC  (CIK 0000106830)
000093247101000078,0001.txt,2001-02-01,N-30D,0001021882,VANGUARD TREASURY FUND  (CIK 0001021882)
000093176301000253,0008.txt,2001-02-15,EX-10.4,0001123360,GLOBAL PAYMENTS INC  (GPN)  (CIK 0001123360)
000093176301000248,0006.txt,2001-02-14,EX-10.4,0000070033,NATIONAL DATA CORP  (CIK 0000070033)
000091431701000085,0001.txt,2001-02-13,SB-2/A,0000795255,CAREERENGINE NETWORK INC  (CIK 0000795255)
000091205701004134,a2035057zs-11.txt,2001-02-06,S-11,0001133505,GLOBAL EXPRESS CAPITAL REAL ESTATE INVESTMENT FUND I LLC  (CIK 0001133505)
000092701601001388,0018.txt,2001-03-16,EX-2.17,0001133082,MILLIPORE MICROELECTRONICS INC  (CIK 0001133082)
000089155401501208,d24895_form10-k.txt,2001-03-01,10-K,0001015923,OPTIMAL ROBOTICS CORP  (CIK 0001015923)
000092701601001388,0017.txt,2001-03-16,EX-2.16,0001133082,MILLIPORE MICROELECTRONICS INC  (CIK 0001133082)
000092701601001388,0015.txt,2001-03-16,EX-2.14,0001133082,MILLIPORE MICROELECTRONICS INC  (CIK 0001133082)
000031442301500008,ar2000.txt,2001-03-29,EX-13,0000314423,ROUNDYS INC  (CIK 0000314423)
000091205701007833,a2036361zex-10_17.txt,2001-03-20,EX-10.17,0001129162,CAP ROCK ENERGY CORP  (CIK 0001129162)
000095013201500095,d10k.txt,2001-03-30,10-K,0001020391,ALLIN CORP  (CIK 0001020391)
000112528201001238,0011.txt,2001-03-30,EX-10.12,0001046995,EMAGIN CORP  (CIK 0001046995)
000095015201500582,l86924ae10-k405.txt,2001-03-30,10-K405,0001026655,CORE MATERIALS CORP  (CMT)  (CIK 0001026655)
000095015201500549,l86289ae10-k.txt,2001-03-20,10-K,0000917857,DOMINION HOMES INC  (CIK 0000917857)
000089924301000749,0001.txt,2001-03-30,10-K405,0001059167,CONRAD INDUSTRIES INC  (CIK 0001059167)
000095013101500333,ds2.txt,2001-03-27,S-2,0000820757,CHART HOUSE ENTERPRISES INC  (CIK 0000820757)
000091205701505660,a2043031z10-k.htm,2001-03-30,10-K,0001115836,ORIENT EXPRESS HOTELS LTD  (CIK 0001115836)
000095012301002920,y47098e10-k405.txt,2001-03-30,10-K405,0001062292,KNOT INC  (CIK 0001062292)
000095014701500569,e-6502.txt,2001-03-19,10-K,0000908527,FRANCHISE FINANCE CORP OF AMERICA  (CIK 0000908527)
000101092401000032,0001.txt,2001-04-10,SC 13D,0000925665,FIRST SCIENTIFIC INC  (CIK 0000925665)
000101092401000032,0001.txt,2001-04-10,SC 13D,0001137966,HEINER E TODD  (CIK 0001137966)
000092701601001632,0012.txt,2001-04-02,EX-10.16,0001091893,SMARTERKIDS COM INC  (CIK 0001091893)
000093173101500064,exhibit1013.txt,2001-04-17,EX-10.13,0001016546,ALTAIR INTERNATIONAL INC  (CIK 0001016546)
000095013501001161,b38524lfn-30d.txt,2001-04-03,N-30D,0000810891,LIBERTY FUNDS TRUST V  (CIK 0000810891)
000101288701000005,0002.txt,2001-04-02,EX-10.23,0001012887,BOSTON COMMUNICATIONS GROUP INC  (CIK 0001012887)
000092701601001632,0001.txt,2001-04-02,10-K,0001091893,SMARTERKIDS COM INC  (CIK 0001091893)
000101968701000441,0001.txt,2001-04-02,10-K,0001073773,IGO CORP  (CIK 0001073773)
000087562601500136,b485pos.txt,2001-04-26,485BPOS,0000933385,FIRST TRUST COMBINED SERIES 241  (CIK 0000933385)
000102140801002138,0001.txt,2001-04-12,10-K405,0001051118,TENFOLD CORP /UT  (CIK 0001051118)
000095012801000607,j8770901e10-k.txt,2001-04-13,10-K,0001022356,ANKER COAL GROUP INC  (CIK 0001022356)
000101322801500209,r33-57333_01.txt,2001-04-30,485BPOS,0000910893,KEMPER DEFINED FUNDS SERIES 29  (CIK 0000910893)
000101322801500212,r33-59123_01.txt,2001-04-30,485BPOS,0000910900,KEMPER DEFINED FUNDS SERIES 33  (CIK 0000910900)
000101322801500211,r33-57993_01.txt,2001-04-30,485BPOS,0000910898,KEMPER DEFINED FUNDS SERIES 32  (CIK 0000910898)
000101322801500213,r33-62735_01.txt,2001-04-30,485BPOS,0000910905,EVEREN UNIT INVESTMENT TRUSTS SERIES 38  (CIK 0000910905)
000101322801500215,r333-08225_01.txt,2001-04-30,485BPOS,0000910919,EVEREN UNIT INVESTMENT TRUSTS SERIES 51  (CIK 0000910919)
000101322801500224,r33-57781_01.txt,2001-04-30,485BPOS,0000910897,KEMPER DEFINED FUNDS SERIES 31  (CIK 0000910897)
000101322801500210,r33-57693_01.txt,2001-04-30,485BPOS,0000910894,KEMPER DEFINED FUNDS SERIES 30  (CIK 0000910894)
